唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
gwyx-fybj201602013,0,"ISTIC,PKU",孕妇学校对孕妇牙周病治疗依从性的影响,10.3969/j.issn.1673-5293.2016.02.013,刘萍[1];王云霞[1];张惠乐[2];陈润强[2];,"[1]深圳市福田妇幼保健院产科,广东深圳,518045;[2]深圳市福田妇幼保健院口腔科,广东深圳,518045;",中国妇幼健康研究,牙周病;孕妇学校;依从性;治疗;,R781.4,2016,27,2
yxzs201412080,3,"ISTIC,PKU",孕妇牙周状况与早产和低体重儿的关系,10.3969/j.issn.1006-2084.2014.12.080,张惠乐[1];王云霞[2];陈润强[1];,"[1]深圳市福田妇幼保健院口腔科,广东深圳,518026;[2]深圳市福田妇幼保健院产科,广东深圳,518026;",医学综述,孕妇;牙周状况;早产;低体重儿;,R781.4,2014,20,12
xdlchl201411016,7,"ISTIC,PKU",体验式健康教育在孕产妇社区护理中的应用,10.3969/j.issn.1671-8283.2014.11.16,余贺杲[1];张彩娟[2];马亮[2];李多茹[3];杨长贵[1];严晓[4];曾颂华[3];赵长青[4];,[1]深圳福田人民医院 社康管理中心，广东深圳，518033;[2]深圳福田人民医院 八卦岭社区健康服务中心，广东深圳，518033;[3]深圳福田人民医院 防保科，广东深圳，518033;[4]深圳福田人民医院 翠海社区健康服务中心，广东深圳，518033;,现代临床护理,体验式学习;孕产期;社区护理;健康教育;,R473.71,2014,,11
zhwlyx201507022,5,"ISTIC,PKU",靳三针配合镜像疗法对偏瘫患者上肢、手功能障碍的影响,10.3760/cma.j.issn.0254-1424.2015.07.022,崔韶阳[1];许明珠[2];郑盛惠[2];赖新生[3];唐纯志[3];王曙辉[2];钟非[2];,"[1]518034 深圳,广东省深圳市福田区中医院康复针灸推拿科;广州中医药大学针灸康复临床医学院;[2]广东省深圳市福田区中医院康复针灸推拿科, 深圳,518034;[3]广州中医药大学针灸康复临床医学院;",中华物理医学与康复杂志,,,2015,37,7
gdyx201419026,4,"ISTIC,PKU",新生儿重症监护室886例患儿细菌感染病原菌分布及耐药性分析,,谢小强[1];叶贞志[1];郭亮[1];吴祥林[2];,[1]广东省深圳市光明新区人民医院新生儿科 518106;[2]广东省深圳市光明新区人民医院检验科 518106;,广东医学,新生儿;重症监护室;细菌感染;病原菌;耐药性;,,2014,35,19
zgqkyx201420023,9,"ISTIC,PKU",减少糖尿病合并消化性溃疡患者临床风险的循证应用,10.3969/j.issn.1007-9572.2014.20.018,钟清连[1];黄群[1];李涛[2];何剑琴[1];黄健[1];王晓玲[1];林嘉裕[1];颜雯[2];,"[1]广东医学院附属深圳福田人民医院消化内科,广东省深圳市,518033;[2]广东医学院附属深圳福田人民医院全科医学科,广东省深圳市,518033;",中国全科医学,糖尿病;消化性溃疡;循证医学;,R587.1  R573.1,2014,,20
shandyy201413030,6,"ISTIC,PKU",后腹腔镜与开放性离断式肾盂成形术治疗肾孟输尿管连接部梗阻疗效比较,10.3969/j.issn.1002-266X.2014.13.028,张泽键[1];王细生[2];谢克基[3];杨江根[4];杨轶凡[2];彭乃雄[2];,[1]南方医科大学研究生院，广州518110; 深圳市龙华新区观澜人民医院;[2]深圳市龙华新区观澜人民医院;[3]南方医科大学研究生院，广州518110; 广州市第一人民医院;[4]深圳市人民医院;,山东医药,肾盂输尿管连接部梗阻;后腹腔镜;肾盂成形术;开放手术;,R693,2014,,13
zhonghfbjbzz201604030,0,"ISTIC,PKU",声门下息肉并左上肺真菌性肺炎一例,10.3877/cma.j.issn.1674-6902.2016.04.030,周一平[1];陈小可[1];林海容[1];韩京军[2];徐胜美[3];夏莉萍[4];刘慧[1];王新根[3];伍德强[2];,"[1]518033,深圳市福田人民医院呼吸科;[2]518033,深圳市福田人民医院胸外科;[3]518033,深圳市福田人民医院病理科;[4]518033,深圳市福田人民医院支气管镜室;",中华肺部疾病杂志（电子版）,肺;真菌;肺炎;,R563,2016,9,4
zgblslzz201407010,1,"ISTIC,PKU",骨保护素基因单核苷酸多态性与类风湿关节炎发病的相关性研究,10.3969/j.issn.1000-4718.2014.07.10,蔡月明[1];龙霞[2];王庆文[1];王菁[3];吴志成[4];王伟光[1];曾慧萍[1];张璐[1];,"[1]北京大学深圳医院 风湿免疫科,广东深圳,518036;[2]北京大学深圳医院 中心实验室,广东深圳,518036;[3]北京大学深圳医院 安徽医科大学北京大学深圳医院临床学院,广东深圳,518036;[4]北京大学深圳医院 检验科,广东深圳,518036;",中国病理生理杂志,"单核苷酸多态性;关节炎,类风湿;骨保护素;",R329.21,2014,,7
zgfybj201603006,0,"ISTIC,PKU",育龄期多囊卵巢综合征妇女糖脂代谢的研究,10.7620/zgfybj.j.issn.1001-4411.2016.03.06,方锦川[1];金素芳[2];周燕妮[1];李丽萍[1];彭检妹[1];周晓梅[2];,"[1]深圳市福田区妇幼保健院妇产科,广东深圳,518048;[2]深圳市福田区中医院妇产科,广东深圳,518035;",中国妇幼保健,多囊卵巢综合征;胰岛素抵抗;糖脂代谢;血糖;血脂;,R711.75,2016,31,3
zhyxcszz201407009,4,"ISTIC,PKU",胎儿单纯腭裂的产前超声诊断,10.3877/cma.j.issn.1672-6448.2014.07.009,何光智[1];张辉[2];杨建恩[3];熊奕[2];吴一彬[1];方耿周[1];阳爱民[4];孔卫萍[1];王茜[1];,"[1]518106,深圳市光明新区人民医院超声科;[2]深圳市人民医院超声科;[3]518106,深圳市光明新区人民医院产科;[4]518106,深圳市光明新区人民医院口腔科;",中华医学超声杂志（电子版）,"超声检查,产前;胎儿;腭裂;",,2014,,7
